"Network","Day","ACC_COL","ACC_ROW","ACC_BOTH"
"Default","3","43.3333333333333","40","30"
"Default","30","36.6666666666667","36.6666666666667","26.6666666666667"
"Cingulo-Opercular","3","66.6666666666667","70","56.6666666666667"
"Cingulo-Opercular","30","46.6666666666667","50","43.3333333333333"
"Frontoparietal","3","40","46.6666666666667","30"
"Frontoparietal","30","43.3333333333333","43.3333333333333","36.6666666666667"
"Somatomotor","3","60","50","46.6666666666667"
"Somatomotor","30","43.3333333333333","46.6666666666667","40"
"Visual2","3","80","76.6666666666667","73.3333333333333"
"Visual2","30","56.6666666666667","66.6666666666667","50"
"Visual1","3","56.6666666666667","43.3333333333333","40"
"Visual1","30","63.3333333333333","56.6666666666667","50"
"Language","3","53.3333333333333","53.3333333333333","40"
"Language","30","36.6666666666667","26.6666666666667","26.6666666666667"
"Dorsal-Attention","3","63.3333333333333","70","60"
"Dorsal-Attention","30","60","56.6666666666667","50"
"Orbito-Affective","3","10","10","3.33333333333333"
"Orbito-Affective","30","10","10","3.33333333333333"
"Posterior-Multimodal","3","56.6666666666667","46.6666666666667","40"
"Posterior-Multimodal","30","36.6666666666667","40","33.3333333333333"
"Ventral-Multimodal","3","23.3333333333333","20","13.3333333333333"
"Ventral-Multimodal","30","13.3333333333333","13.3333333333333","10"
"Auditory","3","40","40","30"
"Auditory","30","30","26.6666666666667","20"
