Network,Day,Accuracy
Default,3,73.33333333
Default,30,60
Cingulo-Opercular,3,73.33333333
Cingulo-Opercular,30,70
Frontoparietal,3,73.33333333
Frontoparietal,30,76.66666667
Somatomotor,3,40
Somatomotor,30,56.66666667
Visual2,3,43.33333333
Visual2,30,56.66666667
Visual1,3,33.33333333
Visual1,30,20
Language,3,70
Language,30,60
Dorsal-Attention,3,73.33333333
Dorsal-Attention,30,80
Orbito-Affective,3,23.33333333
Orbito-Affective,30,10
Posterior-Multimodal,3,63.33333333
Posterior-Multimodal,30,66.66666667
Ventral-Multimodal,3,20
Ventral-Multimodal,30,16.66666667
Auditory,3,30
Auditory,30,26.66666667
