"Network","Day","ACC_COL","ACC_ROW","ACC_BOTH"
"Default","3","66.6666666666667","73.3333333333333","66.6666666666667"
"Default","30","66.6666666666667","60","60"
"Cingulo-Opercular","3","60","73.3333333333333","60"
"Cingulo-Opercular","30","73.3333333333333","70","66.6666666666667"
"Frontoparietal","3","63.3333333333333","73.3333333333333","63.3333333333333"
"Frontoparietal","30","73.3333333333333","76.6666666666667","66.6666666666667"
"Somatomotor","3","46.6666666666667","40","40"
"Somatomotor","30","50","56.6666666666667","43.3333333333333"
"Visual2","3","43.3333333333333","43.3333333333333","36.6666666666667"
"Visual2","30","50","56.6666666666667","46.6666666666667"
"Visual1","3","23.3333333333333","33.3333333333333","16.6666666666667"
"Visual1","30","23.3333333333333","20","13.3333333333333"
"Language","3","76.6666666666667","70","60"
"Language","30","56.6666666666667","60","50"
"Dorsal-Attention","3","73.3333333333333","73.3333333333333","63.3333333333333"
"Dorsal-Attention","30","66.6666666666667","80","66.6666666666667"
"Orbito-Affective","3","16.6666666666667","23.3333333333333","10"
"Orbito-Affective","30","10","10","6.66666666666667"
"Posterior-Multimodal","3","63.3333333333333","63.3333333333333","60"
"Posterior-Multimodal","30","66.6666666666667","66.6666666666667","60"
"Ventral-Multimodal","3","23.3333333333333","20","13.3333333333333"
"Ventral-Multimodal","30","20","16.6666666666667","10"
"Auditory","3","33.3333333333333","30","20"
"Auditory","30","33.3333333333333","26.6666666666667","26.6666666666667"
